tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-08-07,06:00,192.168.2.195,18,11,1,11,7,9406,522.56,0,18,0,0,0.0,1.0,0.0,0.0,0.6111
2026-08-07,07:00,192.168.2.114,274,44,5,142,132,115483,421.47,4,265,5,0,0.0146,0.9672,0.0182,0.0,0.1606
2026-08-07,07:00,192.168.2.122,33,15,3,32,1,3198,96.91,0,31,2,0,0.0,0.9394,0.0606,0.0,0.4545
2026-08-07,07:00,192.168.2.129,178,25,4,29,149,34854,195.81,76,100,2,0,0.427,0.5618,0.0112,0.0,0.1404
2026-08-07,07:00,192.168.2.130,62,29,6,42,20,21335,344.11,1,55,6,0,0.0161,0.8871,0.0968,0.0,0.4677
2026-08-07,07:00,192.168.2.131,113,36,7,79,34,29338,259.63,4,99,10,0,0.0354,0.8761,0.0885,0.0,0.3186
2026-08-07,07:00,192.168.2.145,45,19,6,19,26,21934,487.42,7,29,9,0,0.1556,0.6444,0.2,0.0,0.4222
2026-08-07,07:00,192.168.2.150,109,32,5,24,85,49202,451.39,17,86,6,0,0.156,0.789,0.055,0.0,0.2936
2026-08-07,07:00,192.168.2.152,61,33,3,31,30,21471,351.98,13,48,0,0,0.2131,0.7869,0.0,0.0,0.541
2026-08-07,07:00,192.168.2.154,19,8,1,14,5,5982,314.84,0,19,0,0,0.0,1.0,0.0,0.0,0.4211
2026-08-07,07:00,192.168.2.159,69,25,2,37,32,29643,429.61,6,63,0,0,0.087,0.913,0.0,0.0,0.3623
2026-08-07,07:00,192.168.2.165,1,1,1,1,0,44,44.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0
2026-08-07,07:00,192.168.2.166,228,48,3,159,69,52715,231.21,37,191,0,0,0.1623,0.8377,0.0,0.0,0.2105
2026-08-07,07:00,192.168.2.186,7,6,4,4,3,957,136.71,2,3,1,1,0.2857,0.4286,0.1429,0.1429,0.8571
2026-08-07,07:00,192.168.2.194,96,35,5,60,36,23192,241.58,4,82,10,0,0.0417,0.8542,0.1042,0.0,0.3646
2026-08-07,07:00,192.168.2.195,1,1,1,0,1,1228,1228.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0
2026-08-07,07:00,192.168.2.200,45,14,3,22,23,4157,92.38,22,23,0,0,0.4889,0.5111,0.0,0.0,0.3111
